title,budget,revenue,roi,rating,popularity,genre,season,release_date
Zootopia 2,150000000,560333554,3.7355570266666667,7.8,577.2135,Animation,Fall,2025-11-26
Altered,15000000,346774,0.023118266666666668,6.489,200.9637,Science Fiction,Fall,2025-09-18
Dracula,52000000,25788866,0.49593973076923076,7.052,242.7993,Horror,Summer,2025-07-30
Wicked: For Good,150000000,391000000,2.6066666666666665,6.773,179.3955,Fantasy,Fall,2025-11-19
Predator: Badlands,105000000,174432424,1.661261180952381,7.388,192.8758,Action,Fall,2025-11-05
TRON: Ares,220000000,142073994,0.6457908818181818,6.396,412.9015,Science Fiction,Fall,2025-10-08
Frankenstein,120000000,480678,0.00400565,7.768,149.7549,Drama,Fall,2025-10-17
Kantara - A Legend: Chapter 1,14000000,91000000,6.5,7.4,283.9145,Action,Fall,2025-10-01
Zootopia,150000000,1025521689,6.83681126,7.755,132.8285,Animation,Winter,2016-02-11
One Battle After Another,175000000,202150456,1.155145462857143,7.5,107.5384,Thriller,Fall,2025-09-23
Demon Slayer: Kimetsu no Yaiba Infinity Castle,20000000,740400000,37.02,7.602,114.6343,Animation,Summer,2025-07-18
Bugonia,50000000,34817177,0.69634354,7.5,118.4934,Science Fiction,Fall,2025-10-23
Now You See Me: Now You Don't,90000000,159000154,1.7666683777777779,6.358,103.3534,Thriller,Fall,2025-11-12
Regretting You,30000000,83106420,2.770214,7.1,88.774,Romance,Fall,2025-10-22
KPop Demon Hunters,100000000,24619953,0.24619953,8.205,89.6084,Fantasy,Summer,2025-06-20
Black Phone 2,30000000,131585190,4.386173,6.866,73.8146,Horror,Fall,2025-10-15
Chainsaw Man - The Movie: Reze Arc,4100000,168300000,41.048780487804876,7.861,72.9354,Animation,Fall,2025-09-19
The Prosecutor,38500000,128093757,3.3271105714285714,6.8,58.9096,Action,Winter,2024-12-08
The Fantastic 4: First Steps,200000000,521858728,2.60929364,7.03,58.8014,Science Fiction,Summer,2025-07-23
Wicked,150000000,758737211,5.058248073333333,6.922,53.8222,Drama,Fall,2024-11-20
xXx,70000000,277448382,3.963548314285714,5.976,54.8487,Action,Summer,2002-08-09
Mission: Impossible - The Final Reckoning,400000000,598056261,1.4951406525,7.263,56.1677,Action,Spring,2025-05-17
The Conjuring: Last Rites,55000000,494399411,8.9890802,6.976,52.7546,Horror,Fall,2025-09-03
Sisu: Road to Revenge,12200000,5708490,0.4679090163934426,7.727,51.9684,Action,Fall,2025-10-21
Shelby Oaks,1400000,2350523,1.678945,5.736,43.4285,Horror,Fall,2025-10-02
The Avengers,220000000,1518815515,6.903706886363636,7.865,45.9289,Science Fiction,Spring,2012-04-25
Jurassic World Rebirth,180000000,868878422,4.8271023444444445,6.38,43.0087,Science Fiction,Summer,2025-07-01
Roofman,18000000,28918350,1.606575,7.25,45.956,Comedy,Fall,2025-10-08
Superman,225000000,615800000,2.7368888888888887,7.4,43.6461,Science Fiction,Summer,2025-07-09
F1,250000000,626222234,2.504888936,7.807,40.2951,Action,Summer,2025-06-25
The Running Man,110000000,60551240,0.5504658181818182,6.8,37.4403,Action,Fall,2025-11-11
The Bad Guys 2,80000000,224738330,2.809229125,7.76,37.0351,Family,Summer,2025-07-24
Interstellar,165000000,746606706,4.524889127272727,8.463,38.7745,Adventure,Fall,2014-11-05
How to Train Your Dragon,150000000,635213100,4.234754,7.991,37.7023,Fantasy,Summer,2025-06-06
The Shawshank Redemption,25000000,28341469,1.13365876,8.713,34.3,Drama,Fall,1994-09-23
Wake Up Dead Man: A Knives Out Mystery,210000000,4000000,0.01904761904761905,7.942,36.9773,Comedy,Fall,2025-11-26
Predator,15000000,98267558,6.551170533333333,7.541,31.7869,Science Fiction,Summer,1987-06-12
Nobody 2,25000000,38802325,1.552093,7.055,32.3823,Action,Summer,2025-08-13
No Other Choice,12200000,20072255,1.6452668032786886,7.761,31.6827,Crime,Fall,2025-09-24
Stitch Head,34800000,3455841,0.09930577586206897,7.1,30.0601,Animation,Fall,2025-10-16
How the Grinch Stole Christmas,123000000,345800000,2.8113821138211383,6.778,31.7982,Family,Fall,2000-11-17
Stolen Girl,26000000,92691,0.0035650384615384615,6.5,34.8948,Thriller,Fall,2025-09-04
Nuremberg,11800000,10962391,0.929016186440678,7.314,32.8966,History,Fall,2025-11-06
The Ugly Stepsister,4250000,5325096,1.2529637647058824,7.347,28.4752,Horror,Spring,2025-03-07
The Naked Gun,42000000,102147396,2.432080857142857,6.5,29.9083,Action,Summer,2025-07-30
Afterburn,60000000,184758,0.0030793,6.831,27.8866,Science Fiction,Summer,2025-08-20
Elio,150000000,153797125,1.0253141666666667,6.977,29.963,Family,Summer,2025-06-18
